Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"R1",1,"330 Ω Resistor"
"D1",1,"Verde LED"
"M1",1," Motor CC"
"R2, R4, R5",3,"220 Ω Resistor"
"T1",1," Transistor nMOS (MOSFET)"
"PIEZO1",1," Piezo"
"GAS1",1," Sensor de gás"
"R3",1,"1 kΩ Resistor"
"U2",1," Sensor de temperatura [TMP36]"
"PIR2",1,"-15.432212621849203 , -248.20523873502572 , -248.7851520301968 , -292.29779701946245  Sensor PIR"
"SERVO1",1," Micro servo"
"U5",1," LCD 16 x 2"
"Rpot2",1,"250 kΩ Potenciômetro"
"PIR1",1,"-15.432212621849203 , -298.9404574889528 , -248.7851520301968 , -267.0265330591633  Sensor PIR"
